,target
toDUT49Co100K2014974,0
fromja054913asi002,0
toDUT49Fe100K2014975,0
ONLYinitialfor2949420,1
fromSION21503701,0
fromic035111osi001,0
INITIALanie202202073sup0001nku128298k,1
toanie202202073sup0001nku128thf,1
finalMOFs1961202,1
toDUT49Zn100K2014973,0
ToaIRMOF9DMF1572714,0
tocompoundwithhexane1403844,1
fromDUT49Fe296K1957603,0
toja101541ssi003,1
toja054913asi004,1
from1a,1
fromVMOP1878068,0
2from91045135,1
toDMFsolvatedFebdp298K1058448,0
from2D854460,1
toCoMOF1912233,1
fromja101541ssi004,1
from3in61515548,0
toDUT49Mn100K2014971,0
from4in61536823,0
fromassynthesizedDUT30Zn804770,1
toZn1withDMF238859,1
toDUT49Cd100K2014972,0
toDUT49Ni100K2014970,0
initialSTA26Zr1571655,1
initial2110145,1
fromja054913asi001,0
fromDUT49Mn296K1957604,0
fromja500530ysi003,0
fromMOF2fa1052168,0
fromUPC6001942055,0
from1in5636900,0
toDUT8NipolymorphB1989708,1
tocompoundwithmethanol1403845,1
to1b,1
fromCoMOF1912199,1
to2fa1052169,0
fromDUT49Cd296K1957602,0
todflexMOFdried975745,1
initialZn1238860,1
fromDUT49Zn296K890363,0
fromasflexMOF975746,1
to1lpMOF1944821,1
from935302,0
fromUTSA741884102,1
from1withDMF1403842,1
toanie202202073sup0001nku128toluene,1
toSTA26ZrCchangedsymmetry1571656,1
initial1a1016635,1
fromFebdp25C1058446,1
2to101045134,1
2tocompound2924308,0
initialsMOFs1961204,1
from31483716,0
from1041925,0
from975784,0
from1969911,1
fromCuICuIIMOF22084857,1
initialsMOFs1961201,1
fromDMFsolvatedFebdp100K1058447,0
fromDUT49Ni296K1957605,0
fromDUT49Co296K890364,0
1from61055570,1
initialMOFDMFDUT8Ni1989709,1
fromCuIMOF12084812,1
from1934734,0
fromic035111osi002,1
initial11455983,1
to210KsameSG1970082,0
fromHIMS741884101,1
1to71031676,1
toFdd21021920,1
toCAU131GPa,0
fromPhaseI1031344,1
toVMOP1590348,0
fromchangeSpaceg2501970083,0
initialsMOFs1961203,1
fromC2c1021935,1
